workYear,education,financeStage,companyLogo,district,companyId,explain,industryField,companyLabelList,positionLables,firstType,formatCreateTime,industryLables,companySize,positionName,jobNature,deliver,totalCount,gradeDescription,companyFullName,createTime,positionId,companyShortName,salary,isSchoolJob,secondType,positionAdvantage
1-3年,大专,上市公司,i/image/M00/0C/CA/CgpFT1jrOAKAU6z8AAAWiTSR_EE034.JPG,福田区,191667,,"电子商务,企业服务",,"财务,审核,AR",综合职能类,2018-05-10,,150-500人,会计核算主管,全职,0,461,,深圳能源物流有限公司,2018-05-10 14:57:40,4425342,能源物流,5k-6k,0,财务,"国企待遇,周末双休,带薪年假,五险一金"
3-5年,本科,B轮,image1/M00/00/04/CgYXBlTUV_-ABI69AAB9WXD8IF8908.jpg,南山区,838,,移动互联网,"年终分红,股票期权,五险一金,带薪年假","税务,统计",金融类,3天前发布,,50-150人,财务会计,全职,0,461,,深圳市懒人在线科技有限公司,2018-05-30 10:49:35,3002918,懒人听书,7k-10k,0,法务财务,"五险一金,法定节假日,周末双休,带薪年假"
3-5年,大专,上市公司,i/image/M00/64/5C/CgpEMlmaSXCAL0cpAAFF1DL7PeY327.jpg,南山区,240399,,医疗健康,,"税务,AR",综合职能类,3天前发布,,2000人以上,财务会计,全职,0,461,,深圳美年大健康健康管理有限公司,2018-05-30 09:05:58,3687750,深圳美年大健康体检中心,4k-6k,0,财务,"周末双休,五险一金,福利体检,带薪年假"
1-3年,大专,不需要融资,i/image/M00/4A/38/CgpFT1lsieOAC7DTAAAcxvlb__M346.gif,南山区,211387,,电子商务,,"银行,电商,主管,税务,统计",综合职能类,2018-05-28,"银行,电商,主管,税务,统计",少于15人,财务会计,全职,0,461,,深圳市最佳配角科技有限公司,2018-05-28 14:20:36,4456445,最佳配角,7k-10k,0,财务,"税务,会计审计"
1-3年,大专,未融资,i/image3/M00/4D/0B/Cgq2xlrh5ReAJyV_AABsNI5Jg4o205.jpg,宝安区,361045,,"移动互联网,硬件","""""","财务,税务",综合职能类,2018-05-22,,50-150人,出纳会计,全职,0,461,,深圳几何科技有限公司,2018-05-22 16:30:02,4609627,品多智能锁,5K-10K,0,财务,待遇好稳定
3-5年,大专,不需要融资,i/image/M00/0F/18/CgqKkVbdRTiAfHN7AAAMRkil0B4840.jpg,南山区,117999,,"电子商务,其他","年底双薪,带薪年假,定期体检,通讯津贴",,金融类,1天前发布,,150-500人,销售会计,全职,0,461,,深圳市博悦生活用品有限公司,2018-06-01 14:51:02,4663328,博悦,5k-8k,0,法务财务,"销售会计,会计,应收会计"
1-3年,大专,天使轮,i/image/M00/6E/61/CgpFT1m4icGAHwCmAABPkA1lV0A093.png,南山区,260867,,"游戏,移动互联网",,"银行,税务",综合职能类,2018-05-29,"银行,税务",15-50人,财务会计,全职,0,461,,深圳云步互娱网络科技有限公司,2018-05-29 18:23:03,4490447,云步互娱,5k-6k,0,财务,"全球发行,精品游戏,双休"
应届毕业生,不限,未融资,i/image/M00/87/F9/CgpEMlrEkdeATwdXAAB4zTJQMa0282.png,南山区,359139,,金融,"""""","金融,实习生,出纳,风控",综合职能类,2天前发布,"金融,实习生,出纳,风控",15-50人,贷款结算会计,全职,0,461,,深圳市信德汇众财富管理有限公司,2018-05-31 14:38:26,4382718,金融社,3k-5k,1,财务,"员工旅行,节假日福利,周末双休"
3-5年,本科,天使轮,i/image3/M00/34/EF/CgpOIFqndVaAFe42AAE9tiI3vJg174.jpg,宝安区,341227,,移动互联网 电子商务,"""""","电商,税务,统计",综合职能类,2018-05-28,"电商,税务,统计",50-150人,财务会计,全职,0,461,,柒小佰（深圳）科技有限公司,2018-05-28 16:03:30,4424004,700Kids,8k-10k,0,财务,"财务会计,第三方电商,天猫收入"
1-3年,大专,不需要融资,i/image/M00/49/AE/CgqKkVeYJGuAcEUPAADH4CtxKRQ360.png,南山区,141113,,"社交网络,企业服务",,"银行,电商,税务,统计,AR",综合职能类,3天前发布,"银行,电商,税务,统计,AR",15-50人,财务会计,全职,0,461,,深圳市花友会文化传播有限公司,2018-05-30 17:32:18,2606737,花友会,5k-8k,0,财务,晋升空间大、工作氛围好、Boss很nice
